City,State,MGrid
"""KIPNUK",AK,AO79xw
"""KIVALINA",AK,AP77rr
"""KLAWOCK",AK,CO35mm
"""KOBUK",AK,BP16nw
"""KODIAK",AK,BO37ts
"""AKHIOK",AK,BO37ts
"""CHINIAK",AK,BO37ts
"""USCGS",AK,BO37ts
"""KODIAK",AK,BO37gn
"""KOTLIK",AK,AP82eu
"""KOTZEBUE",AK,AP97jf
"""KOYUK",AK,AP94kw
"""KOYUKUK",AK,BP05qa
"""KWETHLUK",AK,AP90gs
"""KONGIGANAK",AK,AP90cs
"""KWIGILLINGOK",AK,AP90cs
"""KWIGILLINGOK",AK,AO89ju
"""LAKE MINCHUMINA",AK,BP33vt
"""LK MINCHUMINA",AK,BP33vt
"""LARSEN BAY",AK,BO37al
"""LEVELOCK",AK,BO18sw
"""LOWER KALSKAG",AK,AP91tm
"""MC GRATH",AK,BP22sm
"""MCGRATH",AK,BP22sm
"""TAKOTNA",AK,BP12xx
"""MC GRATH",AK,BP12xx
"""NIKOLAI",AK,BP32bu
"""MC GRATH",AK,BP32bu
"""MANLEY HOT SPRINGS",AK,BP44np
"""MANLEY SPGS",AK,BP44np
"""MANOKOTAK",AK,BO08mv
"""MEKORYUK",AK,AP60sb
"""METLAKATLA",AK,CO45gd
"""MINTO",AK,BP55ec
"""MOOSE PASS",AK,BP50gn
"""MOUNTAIN VILLAGE",AK,AP82dc
"""MOUNTAIN VLG",AK,AP82dc
"""NAKNEK",AK,BO18pt
"""NAPAKIAK",AK,AP80xq
"""CLEAR",AK,BP54jg
"""NENANA",AK,BP54jg
"""ANDERSON",AK,BP54me
"""NENANA",AK,BP54me
"""NENANA",AK,BP54rl
"""NEW STUYAHOK",AK,BO19il
"""NIKOLSKI",AK,AO52ox
"""NINILCHIK",AK,BP40gb
"""NOATAK",AK,AP87mn
"""NOME",AK,AP74qr
"""DIOMEDE",AK,AP74qr
"""GOLOVIN",AK,AP74qr
"""LITTLE DIOMEDE",AK,AP74qr
"""LTL DIOMEDE",AK,AP74qr
"""NONDALTON",AK,BO29nx
"""NOORVIK",AK,AP96lt
"""NORTHWAY",AK,BP93da
"""NULATO",AK,BP04wr
"""NUNAPITCHUK",AK,AP80uv
"""OLD HARBOR",AK,BO37if
"""OUZINKIE",AK,BO37sw
"""PALMER",AK,BP51so
"""PELICAN",AK,CO17ww
"""PERRYVILLE",AK,BO05iv
"""PETERSBURG",AK,CO37qb
"""KUPREANOF",AK,CO37qb
"""PILOT POINT",AK,BO17kt
"""PILOT STATION",AK,AP81nw
"""PLATINUM",AK,AO98dx
"""POINT BAKER",AK,CO36fh
"""POINT HOPE",AK,AP68pi
"""PORT ALSWORTH",AK,BP20vl
"""PORT LIONS",AK,BO37lv
"""QUINHAGAK",AK,AO99dt
"""RED DEVIL",AK,BP11dp
"""RUBY",AK,BP34bs
"""RUSSIAN MISSION",AK,AP91gt
"""RUSSIAN MSN",AK,AP91gt
"""SAINT MARYS",AK,AP82ib
